FID,ROAD_ID,ROADWAY,RD_STATUS,NUMSECTION,COUNTY,SECTION_,BEGIN_POST,END_POST,RTLENGTH,HIGHMEASUR,SHAPE_Leng,DISTRICT,COUNTYDOT,COUNTYNM,MNG_DIST,Shape__Length
4107,15000310,15000310,09,1,15,000310,0,0.12,0.115,0.12,184.8404,7,15,Pinellas,7,184.840377159977
4108,13000107,13000107,09,1,13,000107,0,1.843,1.843,1.843,2966.0969,1,13,Manatee,1,2966.09692695865
4109,58005000,58005000,12,12,58,005000,0,4.993,5.001,4.993,8047.6239,3,58,Santa Rosa,3,8047.62387885319
4110,17000160,17000160,09,1,17,000160,0,0.151,0.152,0.151,245.0979,1,17,Sarasota,1,245.097932608263
4111,58640000,58640000,09,2,58,640000,0.049,4.886,4.863,4.886,7826.3103,3,58,Santa Rosa,3,7826.31026655236
4112,49530005,49530005,09,1,49,530005,0,0.155,0.153,0.155,247.0291,3,49,Franklin,3,247.029110047631
4113,49591003,49591003,09,1,49,591003,0,0.11,0.115,0.11,185.3343,3,49,Franklin,3,185.334261069231
4114,49591001,49591001,09,2,49,591001,0,0.285,0.289,0.285,465.1735,3,49,Franklin,3,465.173487813405
4115,49591002,49591002,09,6,49,591002,0,1.05,1.06,1.05,1706.2114,3,49,Franklin,3,1706.21137451844
4116,49540027,49540027,09,6,49,540027,0,0.444,0.444,0.444,713.9082,3,49,Franklin,3,713.908194856901
4117,49560013,49560013,09,1,49,560013,0,0.056,0.055,0.056,87.8965,3,49,Franklin,3,87.896461315516
4118,49560014,49560014,09,1,49,560014,0,0.055,0.055,0.055,87.8089,3,49,Franklin,3,87.8088760681086
4119,49560026,49560026,09,2,49,560026,0,0.269,0.268,0.269,431.6838,3,49,Franklin,3,431.683822024676
4120,49560039,49560039,09,1,49,560039,0,0.111,0.111,0.111,178.6777,3,49,Franklin,3,178.677718862834
4121,49506000,49506000,09,1,49,506000,0,0.972,0.97,0.972,1560.7151,3,49,Franklin,3,1560.71505983464
4122,49000007,49000007,09,1,49,000007,0,0.075,0.076,0.075,121.7623,3,49,Franklin,3,121.762269227836
4123,49590001,49590001,09,1,49,590001,0,0.491,0.49,0.491,788.5765,3,49,Franklin,3,788.576456704078
4124,49560016,49560016,09,1,49,560016,0,0.068,0.069,0.068,110.294,3,49,Franklin,3,110.294002558159
4125,49591004,49591004,09,1,49,591004,0,0.122,0.123,0.122,198.6866,3,49,Franklin,3,198.686567884265
4126,49530009,49530009,09,1,49,530009,0,0.22,0.217,0.22,349.3022,3,49,Franklin,3,349.302150024823
4127,15000288,15000288,09,3,15,000288,0,0.807,0.809,0.807,1301.2173,7,15,Pinellas,7,1301.21733967423
4128,90000006,90000006,09,4,90,000006,0,0.794,0.785,0.794,1262.7495,6,90,Monroe,6,1262.74946496793
4129,46000034,46000034,09,1,46,000034,0,0.74,0.763,0.74,1228.6678,3,46,Bay,3,1228.66783189404
4130,12000051,12000051,09,3,12,000051,0,0.322,0.322,0.322,518.8202,1,12,Lee,1,518.820214655333
4131,60000047,60000047,09,1,60,000047,0,1.205,1.208,1.205,1943.7918,3,60,Walton,3,1943.79176025927
4132,60000039,60000039,09,1,60,000039,0,0.549,0.548,0.549,882.4027,3,60,Walton,3,882.402711981414
4133,12000091,12000091,09,4,12,000091,0,1.2,1.19,1.2,1915.5684,1,12,Lee,1,1915.56836014811
4134,60000042,60000042,09,1,60,000042,0,3.91,3.924,3.91,6315.1355,3,60,Walton,3,6315.13552364753
4135,16470030,16470030,07,1,16,470030,0,0.216,0.209,0.216,335.6754,1,16,Polk,8,335.675376225069
4136,75340008,75340008,07,2,75,340008,0,0.316,0.316,0.316,507.7846,5,75,Orange,5,507.784632997565
4137,79170500,79170500,09,1,79,170500,0,1.223,1.221,1.223,1965.4369,5,79,Volusia,5,1965.43686691777
4138,15170002,15170002,07,2,15,170002,0,0.235,0.241,0.235,387.8667,7,15,Pinellas,7,387.866716320169
4139,87000163,87000163,12,8,87,000163,0,1.1,1.096,1.1,1763.9154,6,87,Miami-Dade,6,1763.91543877391
4140,15170013,15170013,07,2,15,170013,0,0.173,0.17,0.173,274.36,7,15,Pinellas,7,274.359964235954
4141,61504000,61504000,09,5,61,504000,0,9.35,9.378,9.35,15092.9647,3,61,Washington,3,15092.964713239
4142,14080100,14080100,07,1,14,080100,0,0.045,0.042,0.045,67.827,7,14,Pasco,7,67.8269983456862
4143,87000043,87000043,09,2,87,000043,0,1.642,1.645,1.642,2646.8491,6,87,Miami-Dade,6,2646.84911882172
4144,58005200,58005200,07,1,58,005200,0,0.613,0.613,0.613,986.2394,3,58,Santa Rosa,3,986.239353192049
4145,87000356,87000356,09,1,87,000356,0,0.54,0.536,0.54,862.1224,6,87,Miami-Dade,6,862.122433144112
4146,87000210,87000210,09,3,87,000210,0,1.355,1.355,1.355,2181.4183,6,87,Miami-Dade,6,2181.41832102145
4147,13000080,13000080,09,4,13,000080,0,1.779,1.779,1.779,2862.9768,1,13,Manatee,1,2862.97678481273
4148,1000086,01000086,09,6,01,000086,0,5.393,5.393,5.393,8679.5199,1,01,Charlotte,1,8679.51994506767
4149,26002502,26002502,09,1,26,002502,0,1.368,1.372,1.368,2207.2687,2,26,Alachua,2,2207.26870886143
4150,12000101,12000101,09,2,12,000101,0,0.721,0.721,0.721,1160.206,1,12,Lee,1,1160.20603476629
4151,15150024,15150024,07,1,15,150024,0,0.054,0.052,0.054,83.9077,7,15,Pinellas,7,83.9077394768483
4152,15150026,15150026,07,1,15,150026,0,0.003,0.003,0.003,4.4413,7,15,Pinellas,7,4.4413418616601
4153,15000217,15000217,09,5,15,000217,0,0.781,0.782,0.781,1259.3033,7,15,Pinellas,7,1259.30331926096
4154,10190120,10190120,07,2,10,190120,0,0.345,0.343,0.345,551.8203,7,10,Hillsborough,7,551.820282495212
4155,14000140,14000140,09,2,14,000140,0,0.563,0.561,0.563,903.5659,7,14,Pasco,7,903.565872253952
4156,14000141,14000141,09,2,14,000141,0,0.521,0.519,0.521,835.7369,7,14,Pasco,7,835.736886944176
4157,15040000,15040000,12,30,15,040000,0,9.443,9.444,9.443,15198.651,7,15,Pinellas,7,15198.6510004489
4158,70225078,70225078,07,1,70,225078,0,0.188,0.1949,0.188,313.6954,5,70,Brevard,5,313.695367718887
4159,60900004,60900004,16,1,60,900004,0,1.48,1.483,1.48,2386.4657,3,60,Walton,3,2386.46573342814
4160,70225071,70225071,07,2,70,225071,0,0.164,0.1628,0.164,262.0423,5,70,Brevard,5,262.042292024852
4161,94000052,94000052,09,4,94,000052,0,1.571,1.572,1.571,2530.3907,4,94,St. Lucie,4,2530.39065695268
4162,90000026,90000026,09,1,90,000026,0,0.389,0.39,0.389,628.3658,6,90,Monroe,6,628.365798204289
4163,90020002,90020002,07,1,90,020002,0,0.229,0.221,0.229,355.2759,6,90,Monroe,6,355.275946768182
4164,93000381,93000381,09,4,93,000381,0,1.164,1.16,1.164,1867.5353,4,93,Palm Beach,4,1867.53530531995
4165,90020004,90020004,07,1,90,020004,0,0.158,0.162,0.158,260.9072,6,90,Monroe,6,260.907167216177
4166,93900189,93900189,16,1,93,900189,0,0.123,0.123,0.123,198.1492,4,93,Palm Beach,4,198.149225751443
4167,87000337,87000337,09,10,87,000337,0,3.141,3.145,3.141,5061.3602,6,87,Miami-Dade,6,5061.36015896409
4168,8504000,08504000,09,1,08,504000,0,3.014,3.01,3.014,4844.898,7,08,Hernando,7,4844.8979918348
4169,54570006,54570006,09,1,54,570006,0,0.146,0.1466,0.146,235.9741,3,54,Jefferson,3,235.974114997952
4170,54570008,54570008,09,1,54,570008,0,0.107,0.1047,0.107,168.5311,3,54,Jefferson,3,168.531085277187
4171,28000010,28000010,09,1,28,000010,0,0.423,0.42,0.423,675.9916,2,28,Bradford,2,675.991612601974
4172,93080002,93080002,09,1,93,080002,0,0.862,0.862,0.862,1388.0204,4,93,Palm Beach,4,1388.0204151328
4173,86075038,86075038,07,1,86,075038,0,0.519,0.5092,0.519,819.4947,4,86,Broward,4,819.494675010128
4174,86075085,86075085,07,1,86,075085,0,0.671,0.674,0.671,1084.2918,4,86,Broward,4,1084.29184495137
4175,86900097,86900097,16,1,86,900097,0,0.063,0.063,0.063,100.811,4,86,Broward,4,100.810987087275
4176,75001500,75001500,09,2,75,001500,0,2.608,2.616,2.608,4209.2623,5,75,Orange,5,4209.26230777137
4177,86075082,86075082,07,1,86,075082,0,0.671,0.67,0.671,1078.425,4,86,Broward,4,1078.4249969399
4178,86000122,86000122,09,4,86,000122,0,1,1.001,1,1610.6697,4,86,Broward,4,1610.66971630379
4179,89000008,89000008,09,1,89,000008,0,2.997,3.02,2.997,4859.7414,4,89,Martin,4,4859.74135693598
4180,15000142,15000142,09,10,15,000142,0,3.748,3.75,3.748,6034.3525,7,15,Pinellas,7,6034.35245110526
4181,55000052,55000052,09,1,55,000052,0,0.147,0.146,0.147,234.7861,3,55,Leon,3,234.786124459263
4182,15000009,15000009,17,2,15,000009,0,0.1,0.101,0.1,161.873,7,15,Pinellas,7,161.872970109244
4183,15241004,15241004,07,1,15,241004,0,0.203,0.202,0.203,324.7482,7,15,Pinellas,7,324.748153470655
4184,17000537,17000537,09,1,17,000537,0,0.845,0.845,0.845,1360.5387,1,17,Sarasota,1,1360.53871665738
4185,17000117,17000117,09,4,17,000117,0,1.1,1.092,1.1,1758.1306,1,17,Sarasota,1,1758.13060224318
4186,17000070,17000070,09,1,17,000070,0,1,1.015,1,1634.0819,1,17,Sarasota,1,1634.08189285644
4187,17000002,17000002,09,7,17,000002,0,2.526,2.527,2.526,4066.4689,1,17,Sarasota,1,4066.46887043744
4188,58643000,58643000,09,5,58,643000,0,5.25,5.26,5.25,8465.5787,3,58,Santa Rosa,3,8465.57865873704
4189,17000041,17000041,09,2,17,000041,0,1.5,1.509,1.5,2428.3769,1,17,Sarasota,1,2428.37687115298
4190,52508001,52508001,09,1,52,508001,0,0.257,0.253,0.257,407.7969,3,52,Holmes,3,407.796924097257
4191,86470117,86470117,07,1,86,470117,0,0.171,0.171,0.171,275.8632,4,86,Broward,8,275.863192630952
4192,54090027,54090027,09,1,54,090027,0,0.469,0.468,0.469,753.6113,3,54,Jefferson,3,753.611309701713
4193,49540010,49540010,09,5,49,540010,0,0.366,0.369,0.366,593.8418,3,49,Franklin,3,593.841793257331
4194,49540005,49540005,09,4,49,540005,0,0.289,0.296,0.289,476.3062,3,49,Franklin,3,476.306166095826
4195,49540036,49540036,09,1,49,540036,0,0.04,0.046,0.04,74.7051,3,49,Franklin,3,74.7050999675836
4196,49540021,49540021,09,6,49,540021,0,0.47,0.472,0.47,759.2107,3,49,Franklin,3,759.2106868264
4197,49540033,49540033,09,2,49,540033,0,0.238,0.235,0.238,378.1077,3,49,Franklin,3,378.107737080285
4198,70000061,70000061,09,2,70,000061,0,0.3,0.294,0.3,473.7232,5,70,Brevard,5,473.723175093692
4199,79000027,79000027,09,9,79,000027,0,2.642,2.643,2.642,4253.8419,5,79,Volusia,5,4253.84186691418
4200,49540026,49540026,09,11,49,540026,0,0.828,0.828,0.828,1332.2909,3,49,Franklin,3,1332.29087588139
4201,49540034,49540034,09,8,49,540034,0,0.507,0.503,0.507,809.7785,3,49,Franklin,3,809.77848015337
4202,70720500,70720500,09,3,70,720500,0,0.707,0.706,0.707,1136.2096,5,70,Brevard,5,1136.20962424961
4203,70003500,70003500,09,3,70,003500,0,1.473,1.473,1.473,2371.0064,5,70,Brevard,5,2371.00642137716
4204,79000033,79000033,09,5,79,000033,0,2.366,2.324,2.366,3740.7346,5,79,Volusia,5,3740.73456484305
4205,79000028,79000028,09,4,79,000028,0,1.259,1.259,1.259,2026.6442,5,79,Volusia,5,2026.64415881226
4206,70000036,70000036,09,3,70,000036,0,2.084,2.082,2.084,3351.1283,5,70,Brevard,5,3351.12829811157
4207,72170449,72170449,07,1,72,170449,0,0.287,0.297,0.287,477.1711,2,72,Duval,2,477.171055052316
4208,93881000,93881000,09,6,93,881000,0,2.024,2.023,2.024,3255.0352,4,93,Palm Beach,4,3255.03524139327
4209,86472017,86472017,07,1,86,472017,0,0.325,0.314,0.325,506.0267,4,86,Broward,8,506.026654639947
4210,93000390,93000390,09,2,93,000390,0,0.542,0.546,0.542,878.7275,4,93,Palm Beach,4,878.727515989843
4211,72001043,72001043,07,2,72,001043,0,0.231,0.237,0.231,381.2343,2,72,Duval,2,381.234321438611
4212,93557000,93557000,09,3,93,557000,0,0.808,0.804,0.808,1293.9262,4,93,Palm Beach,4,1293.92620108835
4213,93000393,93000393,09,1,93,000393,0,0.505,0.507,0.505,815.6534,4,93,Palm Beach,4,815.653374554058
4214,93000103,93000103,09,6,93,000103,0,4.983,4.979,4.983,8012.4123,4,93,Palm Beach,4,8012.41232237729
4215,93900405,93900405,16,2,93,900405,0,0.259,0.259,0.259,416.7323,4,93,Palm Beach,4,416.732309916728
4216,26710000,26710000,09,3,26,710000,0,2.496,2.504,2.496,4029.2622,2,26,Alachua,2,4029.26217185296
4217,18944000,18944000,16,2,18,944000,0,1.344,1.344,1.344,2163.0053,5,18,Sumter,5,2163.00527163292
4218,61630000,61630000,09,7,61,630000,0,4.658,4.659,4.658,7497.833,3,61,Washington,3,7497.83303054995
4219,4900001,04900001,16,1,04,900001,0,0.803,0.796,0.803,1280.5457,1,04,Desoto,1,1280.54565662921
4220,18592000,18592000,09,3,18,592000,0,3.55,3.542,3.55,5700.3662,5,18,Sumter,5,5700.36624961835
4221,11000007,11000007,09,2,11,000007,0,2.625,2.633,2.625,4236.667,5,11,Lake,5,4236.66702621475
4222,86000556,86000556,09,2,86,000556,0,0.047,0.046,0.047,74.342,4,86,Broward,4,74.342026152201
4223,59900008,59900008,16,1,59,900008,0,0.291,0.291,0.291,468.0615,3,59,Wakulla,3,468.061521189547
4224,93000181,93000181,09,2,93,000181,0,0.376,0.3766,0.376,606.1072,4,93,Palm Beach,4,606.107242958824
4225,87270168,87270168,07,1,87,270168,0,0.096,0.095,0.096,153.2942,6,87,Miami-Dade,6,153.294222886898
4226,87000408,87000408,09,7,87,000408,0,1.812,1.812,1.812,2916.7778,6,87,Miami-Dade,6,2916.77781849447
4227,87021003,87021003,07,1,87,021003,0,0.216,0.216,0.216,348.2607,6,87,Miami-Dade,6,348.260710983318
4228,89900039,89900039,16,1,89,900039,0,1.98,1.982,1.98,3189.7763,4,89,Martin,4,3189.77625086538
4229,28000009,28000009,09,1,28,000009,0,0.377,0.378,0.377,607.9128,2,28,Bradford,2,607.912818441494
4230,93000131,93000131,09,2,93,000131,0,0.181,0.181,0.181,291.3068,4,93,Palm Beach,4,291.306763517262
4231,94513000,94513000,09,1,94,513000,0,1.003,1.003,1.003,1614.426,4,94,St. Lucie,4,1614.42599283032
4232,16006100,16006100,02,1,16,006100,0,0.054,0.055,0.054,88.4895,1,16,Polk,1,88.4894705462714
4233,8630000,08630000,09,3,08,630000,0,6.824,6.814,6.824,10966.1941,7,08,Hernando,7,10966.194064447
4234,87089500,87089500,09,5,87,089500,0,0.6,0.608,0.6,978.0422,6,87,Miami-Dade,6,978.042171288317
4235,86524500,86524500,09,7,86,524500,0,2.079,2.086,2.079,3356.6846,4,86,Broward,4,3356.68464290486
4236,86900124,86900124,16,11,86,900124,0,0.705,0.708,0.705,1139.7011,4,86,Broward,4,1139.70107722001
4237,55002000,55002000,12,31,55,002000,0,15.081,15.094,15.081,24291.8235,3,55,Leon,3,24291.8234759692
4238,86900130,86900130,16,18,86,900130,0,0.726,0.73,0.726,1174.7869,4,86,Broward,4,1174.78692430204
4239,94636500,94636500,09,2,94,636500,0,5.828,5.823,5.828,9370.5639,4,94,St. Lucie,4,9370.56392969101
4240,10000225,10000225,09,3,10,000225,0,3.186,3.181,3.186,5120.0979,7,10,Hillsborough,7,5120.0978947296
4241,10000375,10000375,09,3,10,000375,0,2.23,2.229,2.23,3587.3254,7,10,Hillsborough,7,3587.32543149849
4242,54540000,54540000,09,3,54,540000,0,6.081,6.088,6.081,9798.2503,3,54,Jefferson,3,9798.25034927484
4243,86000350,86000350,09,2,86,000350,0,0.245,0.251,0.245,403.5529,4,86,Broward,4,403.552928485877
4244,86014500,86014500,09,7,86,014500,0,2,2,2,3217.9743,4,86,Broward,4,3217.97430056696
4245,93503500,93503500,09,8,93,503500,0,2.706,2.708,2.706,4358.6278,4,93,Palm Beach,4,4358.62777810852
4246,12075015,12075015,07,1,12,075015,0,0.196,0.1962,0.196,315.7707,1,12,Lee,1,315.770701816694
4247,93795000,93795000,09,2,93,795000,0,2.488,2.493,2.488,4011.3326,4,93,Palm Beach,4,4011.33262955729
4248,8470008,08470008,07,1,08,470008,0,0.285,0.286,0.285,460.517,7,08,Hernando,8,460.51696606258
4249,76000008,76000008,09,2,76,000008,0,2.056,2.055,2.056,3307.9628,2,76,Putnam,2,3307.96280933643
4250,8000038,08000038,09,1,08,000038,0,1.505,1.505,1.505,2421.5338,7,08,Hernando,7,2421.5338121403
4251,76000020,76000020,09,3,76,000020,0,1.137,1.139,1.137,1832.8023,2,76,Putnam,2,1832.80229900043
4252,74080000,74080000,09,1,74,080000,0,0.392,0.395,0.392,636.3818,2,74,Nassau,2,636.381835892656
4253,74590000,74590000,09,1,74,590000,0,5.953,5.951,5.953,9576.8037,2,74,Nassau,2,9576.80374917263
4254,74000029,74000029,09,1,74,000029,0,1.301,1.305,1.301,2100.3695,2,74,Nassau,2,2100.36953206139
4255,10190021,10190021,07,1,10,190021,0,0.226,0.227,0.226,364.8352,7,10,Hillsborough,7,364.835178812754
4256,72001074,72001074,07,1,72,001074,0,0.109,0.114,0.109,183.3573,2,72,Duval,2,183.357255639471
4257,87000714,87000714,09,4,87,000714,0,1.153,1.152,1.153,1853.3014,6,87,Miami-Dade,6,1853.30140055327
4258,34010000,34010000,12,35,34,010000,0,38.34,38.365,38.34,61742.9485,2,34,Levy,2,61742.9484638207
4259,53000050,53000050,09,1,53,000050,0,2.255,2.259,2.255,3635.771,3,53,Jackson,3,3635.77097165187
4260,11640001,11640001,09,1,11,640001,0,0.749,0.747,0.749,1201.9339,5,11,Lake,5,1201.93389071336
4261,73001011,73001011,07,2,73,001011,0,0.349,0.342,0.349,549.6898,5,73,Flagler,5,549.689773452777
4262,10000007,10000007,09,2,10,000007,0,2.513,2.496,2.513,4016.833,7,10,Hillsborough,7,4016.83304385231
4263,56580006,56580006,09,6,56,580006,0,0.668,0.669,0.668,1075.9081,3,56,Liberty,3,1075.9081187019
4264,26260029,26260029,07,2,26,260029,0,0.228,0.228,0.228,367.3737,2,26,Alachua,2,367.373739586749
4265,77000051,77000051,09,5,77,000051,0,1.659,1.66,1.659,2671.3048,5,77,Seminole,5,2671.30478851976
4266,86472021,86472021,07,2,86,472021,0,0.361,0.353,0.361,568.4343,4,86,Broward,8,568.434307136956
4267,86472031,86472031,07,2,86,472031,0,0.345,0.344,0.345,553.5301,4,86,Broward,8,553.530109106656
4268,75280070,75280070,07,4,75,280070,0,0.516,0.517,0.516,831.7274,5,75,Orange,5,831.727351905933
4269,16000024,16000024,09,1,16,000024,0,3.4,3.363,3.4,5411.7208,1,16,Polk,1,5411.72076818156
4270,16000180,16000180,09,1,16,000180,0,0.3,0.302,0.3,486.4092,1,16,Polk,1,486.409236648235
4271,10000855,10000855,10,2,10,000855,0,0.184,0.184,0.184,295.4698,7,10,Hillsborough,7,295.469848624715
4272,10000887,10000887,10,2,10,000887,0,0.517,0.517,0.517,831.2684,7,10,Hillsborough,7,831.268364123371
4273,87000957,87000957,09,3,87,000957,0,0.999,0.997,0.999,1603.9492,6,87,Miami-Dade,6,1603.94922317464
4274,72000018,72000018,09,3,72,000018,0,3.065,3.062,3.065,4928.3564,2,72,Duval,2,4928.35643337871
4275,87900042,87900042,16,2,87,900042,0,0.496,0.493,0.496,793.0707,6,87,Miami-Dade,6,793.070656459764
4276,87580501,87580501,09,7,87,580501,0,1.525,1.527,1.525,2458.2141,6,87,Miami-Dade,6,2458.21414168827
4277,79002073,79002073,07,1,79,002073,0,0.387,0.3873,0.387,623.2197,5,79,Volusia,5,623.219662184258
4278,79002072,79002072,07,2,79,002072,0,0.392,0.3925,0.392,631.6799,5,79,Volusia,5,631.67994725725
4279,1000068,01000068,09,3,01,000068,0,1.921,1.921,1.921,3091.1019,1,01,Charlotte,1,3091.10188706799
4280,87900030,87900030,16,1,87,900030,0,0.029,0.029,0.029,46.2491,6,87,Miami-Dade,6,46.2490919687486
4281,87000348,87000348,09,10,87,000348,0,2.949,2.952,2.949,4750.1378,6,87,Miami-Dade,6,4750.13783934608
4282,72090165,72090165,07,1,72,090165,0,0.055,0.0501,0.055,80.6772,2,72,Duval,2,80.6771722212193
4283,72020095,72020095,07,2,72,020095,0,0.084,0.0846,0.084,136.1271,2,72,Duval,2,136.1271140638
4284,72001059,72001059,07,2,72,001059,0,0.219,0.2182,0.219,351.1919,2,72,Duval,2,351.191893636015
4285,72280218,72280218,07,2,72,280218,0,0.174,0.1737,0.174,279.5203,2,72,Duval,2,279.520285638718
4286,72270209,72270209,07,1,72,270209,0,0.112,0.1106,0.112,177.925,2,72,Duval,2,177.924994768714
4287,72020110,72020110,07,1,72,020110,0,0.159,0.1618,0.159,260.4075,2,72,Duval,2,260.407538307237
4288,87270192,87270192,07,1,87,270192,0,0.152,0.1524,0.152,245.3158,6,87,Miami-Dade,6,245.315757060767
4289,87140349,87140349,07,1,87,140349,0,0.113,0.1125,0.113,181.0176,6,87,Miami-Dade,6,181.017571128036
4290,16470017,16470017,07,1,16,470017,0,0.082,0.0818,0.082,131.6651,1,16,Polk,8,131.665122280116
4291,51580008,51580008,09,2,51,580008,0,0.203,0.2028,0.203,326.3392,3,51,Gulf,3,326.339216942717
4292,51540010,51540010,09,3,51,540010,0,0.182,0.1857,0.182,298.9095,3,51,Gulf,3,298.909453994949
4293,86900398,86900398,16,1,86,900398,0,0.181,0.181,0.181,291.7423,4,86,Broward,4,291.74227455738
4294,72000189,72000189,09,5,72,000189,0,2.685,2.677,2.685,4307.7689,2,72,Duval,2,4307.76891070543
4295,72001045,72001045,07,2,72,001045,0,0.145,0.149,0.145,239.6074,2,72,Duval,2,239.607444500717
4296,78070000,78070000,02,11,78,070000,0,17.294,17.283,17.294,27814.3731,2,78,St. Johns,2,27814.3730863329
4297,90600001,90600001,09,1,90,600001,0,1.948,1.948,1.948,3134.802,6,90,Monroe,6,3134.8019730138
4298,90000540,90000540,09,1,90,000540,0,0.5,0.482,0.5,775.1866,6,90,Monroe,6,775.186623792511
4299,94000113,94000113,09,6,94,000113,0,2.038,2.035,2.038,3275.6353,4,94,St. Lucie,4,3275.63531366671
4300,90610016,90610016,09,5,90,610016,0,0.372,0.373,0.372,599.7027,6,90,Monroe,6,599.702659119008
4301,58000023,58000023,09,2,58,000023,0,1.562,1.57,1.562,2526.4585,3,58,Santa Rosa,3,2526.45853855778
4302,58000093,58000093,09,1,58,000093,0,0.858,0.858,0.858,1380.8031,3,58,Santa Rosa,3,1380.8031462026
4303,56501001,56501001,09,1,56,501001,0,0.776,0.776,0.776,1248.1161,3,56,Liberty,3,1248.1161035359
4304,79518000,79518000,09,2,79,518000,0,1.058,1.058,1.058,1702.2004,5,79,Volusia,5,1702.20035475189
4305,79000115,79000115,09,9,79,000115,0,2.569,2.567,2.569,4131.6252,5,79,Volusia,5,4131.62520659642
4306,79270001,79270001,09,8,79,270001,0,4.03,4.034,4.03,6491.9375,5,79,Volusia,5,6491.93746027116
4307,57000059,57000059,09,3,57,000059,0,7.024,7.049,7.024,11343.9774,3,57,Okaloosa,3,11343.9774210678
4308,79000096,79000096,09,3,79,000096,0.102,3.488,3.366,3.488,5416.3307,5,79,Volusia,5,5416.33067153305
4309,57000084,57000084,09,2,57,000084,0,3.293,3.307,3.293,5321.7007,3,57,Okaloosa,3,5321.70074332688
4310,57000085,57000085,09,1,57,000085,0,1.071,1.074,1.071,1728.0914,3,57,Okaloosa,3,1728.09141987637
4311,57000086,57000086,09,1,57,000086,0,1.259,1.262,1.259,2031.1412,3,57,Okaloosa,3,2031.14124112047
4312,86900125,86900125,16,7,86,900125,0,0.68,0.678,0.68,1090.9173,4,86,Broward,4,1090.91734278257
4313,86900126,86900126,16,9,86,900126,0,0.698,0.699,0.698,1124.8189,4,86,Broward,4,1124.81891015638
4314,86900127,86900127,16,7,86,900127,0,0.679,0.676,0.679,1088.3078,4,86,Broward,4,1088.30784181714
4315,15000432,15000432,09,1,15,000432,0,0.356,0.356,0.356,573.0747,7,15,Pinellas,7,573.074725343444
4316,86900119,86900119,16,17,86,900119,0,1.845,1.845,1.845,2969.1257,4,86,Broward,4,2969.12570123062
4317,10000559,10000559,09,2,10,000559,0,0.199,0.198,0.199,319.3432,7,10,Hillsborough,7,319.343190407915
4318,14080000,14080000,02,5,14,080000,0,1.826,1.836,1.826,2954.6274,7,14,Pasco,7,2954.62738931907
4319,57000074,57000074,09,1,57,000074,0,0.681,0.6811,0.681,1096.1069,3,57,Okaloosa,3,1096.10685722355
4320,57000075,57000075,09,1,57,000075,0,0.75,0.7546,0.75,1214.3926,3,57,Okaloosa,3,1214.39262598222
4321,57520000,57520000,09,2,57,520000,0,2.519,2.5286,2.519,4069.3466,3,57,Okaloosa,3,4069.34662101143
4322,10190150,10190150,07,2,10,190150,0,0.295,0.294,0.295,472.9056,7,10,Hillsborough,7,472.905564377678
4323,86900076,86900076,16,1,86,900076,0,0.143,0.142,0.143,229.3023,4,86,Broward,4,229.302293478462
4324,16000198,16000198,09,4,16,000198,0,1.73,1.732,1.73,2787.3566,1,16,Polk,1,2787.35657071918
4325,10620000,10620000,09,5,10,620000,0,12.71,12.681,12.71,20408.513,7,10,Hillsborough,7,20408.5129880947
4326,16000307,16000307,09,1,16,000307,0.016,1.6,1.583,1.6,2548.16,1,16,Polk,1,2548.16001759653
4327,10610500,10610500,09,2,10,610500,0,0.531,0.526,0.531,847.1744,7,10,Hillsborough,7,847.174384431703
4328,79000375,79000375,09,1,79,000375,0,0.095,0.096,0.095,154.6011,5,79,Volusia,5,154.601080802065
4329,93000015,93000015,09,11,93,000015,0,2.791,2.789,2.791,4488.376,4,93,Palm Beach,4,4488.3759930617
4330,15002003,15002003,07,1,15,002003,0,0.118,0.11,0.118,176.9047,7,15,Pinellas,7,176.904681431739
4331,15000151,15000151,09,14,15,000151,0,2.388,2.401,2.388,3863.2981,7,15,Pinellas,7,3863.29814739309
4332,11170000,11170000,02,10,11,170000,0,12.465,12.462,12.465,20056.3274,5,11,Lake,5,20056.3274494431
4333,2000007,02000007,12,6,02,000007,0,5.408,5.416,5.408,8716.8894,7,02,Citrus,7,8716.88943662216
4334,10000103,10000103,09,3,10,000103,0,3.871,3.866,3.871,6221.7192,7,10,Hillsborough,7,6221.71919250396
4335,15010000,15010000,12,59,15,010000,0,21.212,21.209,21.212,34131.8247,7,15,Pinellas,7,34131.8247113068
4336,75000075,75000075,09,2,75,000075,0,1.263,1.266,1.263,2038.045,5,75,Orange,5,2038.04503370104
4337,11000195,11000195,09,3,11,000195,0,1.523,1.528,1.523,2459.5213,5,11,Lake,5,2459.52126432689
4338,86470206,86470206,07,3,86,470206,0,1.081,1.081,1.081,1740.1834,4,86,Broward,8,1740.18343627514
4339,60698000,60698000,09,1,60,698000,0,2.009,2.006,2.009,3228.6933,3,60,Walton,3,3228.69334591879
4340,60501000,60501000,09,4,60,501000,0,5.737,5.754,5.737,9259.9246,3,60,Walton,3,9259.92460204219
4341,58000040,58000040,09,1,58,000040,0,3.625,3.642,3.625,5860.7605,3,58,Santa Rosa,3,5860.76047433564
4342,93470152,93470152,07,1,93,470152,0,0.2,0.2046,0.2,329.1947,4,93,Palm Beach,8,329.194734594595
